description,reference_number,issue_date,transaction_number,account_name,account_number,amount,trial_balance_account_id,transaction_type,transaction_created_by
"قيمة مبيعات نقدية, , شبكات مصرف الراجحى",43931,2025-07-05,26159,مبيعات ,411,-1429.57,\N,\N,\N
"قيمة مبيعات نقدية, , شبكات مصرف الراجحى",43932,2025-07-05,26160,مبيعات ,411,-4390.43,\N,\N,\N
"قيمة مبيعات آجله, مؤسسة فلاح عبد الله بن محمد القحطانى التجارية, ",43933,2025-07-05,26161,مبيعات ,411,-11227.83,\N,\N,\N
"قيمة مبيعات آجله, مؤسسة المنزل المخفض التجارية, ",43934,2025-07-05,26162,مبيعات ,411,-1739.13,\N,\N,\N
"قيمة مبيعات نقدية, , صندوق معرض مهرجان 2",43935,2025-07-05,26163,مبيعات ,411,-1191.3,\N,\N,\N
"قيمة مبيعات نقدية, , شبكات مصرف الراجحى",43936,2025-07-05,26164,مبيعات ,411,-1069.57,\N,\N,\N
"قيمة مبيعات آجله, مؤسسة اجواء الصيف للاجهزة المنزلية, ",43937,2025-07-05,26165,مبيعات ,411,-3521.74,\N,\N,\N
"قيمة مبيعات آجله, مؤسسة المنزل المخفض التجارية, ",43938,2025-07-05,26166,مبيعات ,411,-3478.26,\N,\N,\N
"قيمة مبيعات نقدية, , شبكات مصرف الراجحى",43939,2025-07-05,26167,مبيعات ,411,-1173.91,\N,\N,\N
"قيمة مبيعات نقدية, , شبكات مصرف الراجحى",43940,2025-07-05,26168,مبيعات ,411,-1130.43,\N,\N,\N
"قيمة مبيعات نقدية, , صندوق تمار الخرج 8",43941,2025-07-05,26169,مبيعات ,411,-3686.96,\N,\N,\N
"قيمة مبيعات نقدية, , شبكات مصرف الراجحى",43942,2025-07-05,26170,مبيعات ,411,-1860.87,\N,\N,\N
"قيمة مبيعات نقدية, , صندوق معرض شبيلية",43943,2025-07-05,26171,مبيعات ,411,-5869.57,\N,\N,\N
"قيمة مبيعات نقدية, , شبكات مصرف الراجحى",43944,2025-07-05,26172,مبيعات ,411,-1904.35,\N,\N,\N
"قيمة مبيعات نقدية, , شبكات مصرف الراجحى",43945,2025-07-05,26173,مبيعات ,411,-257.39,\N,\N,\N
"قيمة مبيعات نقدية, , شبكات مصرف الراجحى",43946,2025-07-05,26174,مبيعات ,411,-530.43,\N,\N,\N
